id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
gg.best_motion_picture_drama.2003.the_hours_unresolved,gg.2003,gg.best_motion_picture_drama,2003,won,[],590,The Hours,,2002,/4myDtowDJQPQnkEDB1IWGtJR1Fo.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:21:08.321895+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2003.about_schmidt_unresolved,gg.2003,gg.best_motion_picture_drama,2003,nominated,[],2755,About Schmidt,,2002,/tstvsrJHY57hc951lb190alXRQm.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:21:08.321895+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2003.gangs_of_new_york_unresolved,gg.2003,gg.best_motion_picture_drama,2003,nominated,[],3131,Gangs of New York,,2002,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:21:08.321895+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2003.the_lord_of_the_rings_the_two_towers_unresolved,gg.2003,gg.best_motion_picture_drama,2003,nominated,[],121,The Lord of the Rings: The Two Towers,,2002,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:21:08.321895+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2003.the_pianist_unresolved,gg.2003,gg.best_motion_picture_drama,2003,nominated,[],423,The Pianist,,2002,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:21:08.321895+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2003.chicago_unresolved,gg.2003,gg.best_motion_picture_musical_comedy,2003,won,[],1574,Chicago,,2002,/3ED8cWCXY9zkx77Sd0N5qMbsdDP.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:21:08.322051+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2003.about_a_boy_unresolved,gg.2003,gg.best_motion_picture_musical_comedy,2003,nominated,[],245,About a Boy,,2002,/qoZ1bD0q9EFqcNiEYbEigsRcNCt.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:21:08.322051+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2003.adaptation_unresolved,gg.2003,gg.best_motion_picture_musical_comedy,2003,nominated,[],2757,Adaptation.,,2002,/ffEmHQAiD0m5dEQ6rlsuA9vlllW.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:21:08.322051+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2003.my_big_fat_greek_wedding_unresolved,gg.2003,gg.best_motion_picture_musical_comedy,2003,nominated,[],8346,My Big Fat Greek Wedding,,2002,/ztc05ym0T3stnBpRHdxEs3Zwsmp.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:21:08.322051+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2003.nicholas_nickleby_unresolved,gg.2003,gg.best_motion_picture_musical_comedy,2003,nominated,[],29339,Nicholas Nickleby,,2002,/uLilCY2We3Ore9Ke7CdafntHvmT.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:21:08.322051+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.talk_to_her_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,won,[],64,Talk to Her,,2002,/fWDbQlOWOqjR5jZm98KjGyYmUOw.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.balzac_and_the_little_chinese_seamstress_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,nominated,[],2111,Balzac and the Little Chinese Seamstress,,2002,/boIPnACAr2J29oLanoAuMjmQP8i.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.city_of_god_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,nominated,[],598,City of God,,2002,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.the_crime_of_father_amaro_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,nominated,[],542,The Crime of Father Amaro,,2002,/wqwt2DKcQV6EeSwXuYTk7pkLFii.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.hero_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,nominated,[],79,Hero,,2002,/vxgZto2Cz7ILHAlmRXt50I2brB2.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_non_english.2003.nowhere_in_africa_unresolved,gg.2003,gg.best_motion_picture_non_english,2003,nominated,[],1591,Nowhere in Africa,,2001,/2ED1GaTKhHielGYa1giBsxfoacp.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Foreign Language Film section",2026-04-30T04:21:08.322199+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_actor_drama.2003.jack_nicholson_unresolved,gg.2003,gg.best_actor_drama,2003,won,"[{""name"": ""Jack Nicholson"", ""role"": ""Warren R. Schmidt"", ""tmdb_person_id"": 514, ""profile_path"": null}]",2755,About Schmidt,,2002,/tstvsrJHY57hc951lb190alXRQm.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Actor in a Motion Picture – Drama section",2026-04-30T04:21:08.322444+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_actor_drama.2003.adrien_brody_unresolved,gg.2003,gg.best_actor_drama,2003,nominated,"[{""name"": ""Adrien Brody"", ""role"": ""Władysław Szpilman"", ""tmdb_person_id"": 3490, ""profile_path"": null}]",423,The Pianist,,2002,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Actor in a Motion Picture – Drama section",2026-04-30T04:21:08.322444+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_actor_drama.2003.michael_caine_unresolved,gg.2003,gg.best_actor_drama,2003,nominated,"[{""name"": ""Michael Caine"", ""role"": ""Thomas Fowler"", ""tmdb_person_id"": 3895, ""profile_path"": null}]",8198,The Quiet American,,2002,/nLooNNrvzpf49G7HsB9siQT4036.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Actor in a Motion Picture – Drama section",2026-04-30T04:21:08.322444+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_actor_drama.2003.daniel_day_lewis_unresolved,gg.2003,gg.best_actor_drama,2003,nominated,"[{""name"": ""Daniel Day-Lewis"", ""role"": ""William \""Bill the Butcher\"" Cutting"", ""tmdb_person_id"": 11856, ""profile_path"": null}]",3131,Gangs of New York,,2002,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,https://en.wikipedia.org/wiki/60th_Golden_Globe_Awards,"60th Golden Globe Awards Wikipedia article, Best Actor in a Motion Picture – Drama section",2026-04-30T04:21:08.322444+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
