"id","ceremony_id","category_id","year","result","recipients_json","film_tmdb_id","film_title","subject_title","film_release_year","film_poster_path","source_url","source_citation","scraped_at","scrape_version","verified_status","flags_json","notes"
"gg.best_motion_picture_drama.2002.a_beautiful_mind_unresolved","gg.2002","gg.best_motion_picture_drama","2002","won","[]","","A Beautiful Mind","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section","2026-04-30T04:21:10.519539+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_drama.2002.in_the_bedroom_unresolved","gg.2002","gg.best_motion_picture_drama","2002","nominated","[]","","In the Bedroom","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section","2026-04-30T04:21:10.519539+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_drama.2002.the_lord_of_the_rings_the_fellowship_of_the_ring_unresolved","gg.2002","gg.best_motion_picture_drama","2002","nominated","[]","","The Lord of the Rings: The Fellowship of the Ring","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section","2026-04-30T04:21:10.519539+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_drama.2002.the_man_who_wasn_t_there_unresolved","gg.2002","gg.best_motion_picture_drama","2002","nominated","[]","","The Man Who Wasn't There","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section","2026-04-30T04:21:10.519539+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_drama.2002.mulholland_drive_unresolved","gg.2002","gg.best_motion_picture_drama","2002","nominated","[]","","Mulholland Drive","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section","2026-04-30T04:21:10.519539+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_musical_comedy.2002.moulin_rouge_unresolved","gg.2002","gg.best_motion_picture_musical_comedy","2002","won","[]","","Moulin Rouge!","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section","2026-04-30T04:21:10.519817+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_musical_comedy.2002.bridget_jones_s_diary_unresolved","gg.2002","gg.best_motion_picture_musical_comedy","2002","nominated","[]","","Bridget Jones's Diary","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section","2026-04-30T04:21:10.519817+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_musical_comedy.2002.gosford_park_unresolved","gg.2002","gg.best_motion_picture_musical_comedy","2002","nominated","[]","","Gosford Park","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section","2026-04-30T04:21:10.519817+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_musical_comedy.2002.legally_blonde_unresolved","gg.2002","gg.best_motion_picture_musical_comedy","2002","nominated","[]","","Legally Blonde","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section","2026-04-30T04:21:10.519817+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
"gg.best_motion_picture_musical_comedy.2002.shrek_unresolved","gg.2002","gg.best_motion_picture_musical_comedy","2002","nominated","[]","","Shrek","","","","https://en.wikipedia.org/wiki/59th_Golden_Globe_Awards","59th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section","2026-04-30T04:21:10.519817+00:00","scrape-gg-v1.0.0","auto_verified","[""single_source_wikipedia_only""]",""
