year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2011,venice.golden_lion,won,"[{""name"": ""Alexander Sokurov"", ""role"": null, ""tmdb_person_id"": 107762, ""profile_path"": ""/oNLxLidA1BOuZ7OyQcQXWKcl4E0.jpg""}]",Faust,77560,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.silver_lion_grand_jury,won,"[{""name"": ""Emanuele Crialese"", ""role"": null, ""tmdb_person_id"": 20587, ""profile_path"": ""/t1vGKleeY3QyEtSe10BUAPc0QnW.jpg""}]",Terraferma,73872,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.silver_lion_best_director,won,"[{""name"": ""Cai Shangjun"", ""role"": null, ""tmdb_person_id"": 15162, ""profile_path"": null}]",People Mountain People Sea,102869,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.volpi_cup_best_actor,won,"[{""name"": ""Michael Fassbender"", ""role"": null, ""tmdb_person_id"": 17288, ""profile_path"": null}]",Shame,76025,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.volpi_cup_best_actress,won,"[{""name"": ""Deanie Ip"", ""role"": null, ""tmdb_person_id"": 87840, ""profile_path"": ""/cbLmEQf2bzjEB4tOcoCPOVTZLeb.jpg""}]",A Simple Life,91186,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.best_screenplay,won,"[{""name"": ""Yorgos Lanthimos"", ""role"": null, ""tmdb_person_id"": 122423, ""profile_path"": null}, {""name"": ""Efthimis Filippou"", ""role"": null, ""tmdb_person_id"": 136427, ""profile_path"": ""/ahr48ZPgUDSK8fVvc6b5yu1vVvW.jpg""}]",Alps,81857,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.marcello_mastroianni_award,won,"[{""name"": ""Shota Sometani"", ""role"": null, ""tmdb_person_id"": 1018944, ""profile_path"": ""/sEEfyEfEbd9TQB9gFlvDTQJov76.jpg""}]",Himizu,98631,true,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.marcello_mastroianni_award,won,"[{""name"": ""Fumi Nikaido"", ""role"": null, ""tmdb_person_id"": 1018945, ""profile_path"": ""/tqxgrZdOpx2FuTJYlhago4fttI3.jpg""}]",Himizu,98631,true,auto_verified,,2026-05-03T23:52:29.706369+00:00
2011,venice.lion_of_the_future,won,"[{""name"": ""Guido Lombardi"", ""role"": null, ""tmdb_person_id"": 1386110, ""profile_path"": null}]",Là-bas: A Criminal Education,101843,false,auto_verified,,2026-05-03T23:52:29.706369+00:00
