year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2007,venice.golden_lion,won,"[{""name"": ""Ang Lee"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Lust, Caution",4588,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.silver_lion_best_director,won,"[{""name"": ""Brian De Palma"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Redacted,11600,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.special_jury_prize,won,"[{""name"": ""Todd Haynes"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",I'm Not There,3902,true,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.special_jury_prize,won,"[{""name"": ""Abdellatif Kechiche"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Secret of the Grain,8280,true,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.volpi_cup_best_actor,won,"[{""name"": ""Brad Pitt"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Assassination of Jesse James by the Coward Robert Ford,4512,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.volpi_cup_best_actress,won,"[{""name"": ""Cate Blanchett"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",I'm Not There,3902,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.best_screenplay,won,"[{""name"": ""Paul Laverty"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",It's a Free World...,7992,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.marcello_mastroianni_award,won,"[{""name"": ""Hafsia Herzi"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Secret of the Grain,8280,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
2007,venice.lion_of_the_future,won,"[{""name"": ""Rodrigo Plá"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",La Zona,15865,false,auto_verified,,2026-05-03T23:52:20.849343+00:00
