"year","category_id","result","recipients_json","film_title","film_tmdb_id","co_winner","verified_status","notes","scraped_at"
"2012","venice.golden_lion","won","[{""name"": ""Kim Ki-duk"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Pietà","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.silver_lion_grand_jury","won","[{""name"": ""Ulrich Seidl"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Paradise: Faith","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.silver_lion_best_director","won","[{""name"": ""Paul Thomas Anderson"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Master","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.volpi_cup_best_actor","won","[{""name"": ""Philip Seymour Hoffman"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Master","","true","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.volpi_cup_best_actor","won","[{""name"": ""Joaquin Phoenix"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Master","","true","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.volpi_cup_best_actress","won","[{""name"": ""Hadas Yaron"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Fill the Void","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.best_screenplay","won","[{""name"": ""Olivier Assayas"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Something in the Air","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.marcello_mastroianni_award","won","[{""name"": ""Fabrizio Falco"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Dormant Beauty","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
"2012","venice.lion_of_the_future","won","[{""name"": ""Ali Aydın"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Mold","","false","auto_verified","","2026-05-03T23:52:32.029847+00:00"
