year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2002,venice.golden_lion,won,"[{""name"": ""Peter Mullan"", ""role"": null, ""tmdb_person_id"": 3064, ""profile_path"": null}]",The Magdalene Sisters,8094,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.silver_lion_grand_jury,won,"[{""name"": ""Andrei Konchalovsky"", ""role"": null, ""tmdb_person_id"": 58728, ""profile_path"": null}]",House of Fools,72996,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.silver_lion_best_director,won,"[{""name"": ""Lee Chang-dong"", ""role"": null, ""tmdb_person_id"": 96657, ""profile_path"": null}]",Oasis,26955,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.volpi_cup_best_actor,won,"[{""name"": ""Stefano Accorsi"", ""role"": null, ""tmdb_person_id"": 65571, ""profile_path"": ""/v0juBdStV3KECZL1nEL7AkbWQ0j.jpg""}]",A Journey Called Love,64389,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.volpi_cup_best_actress,won,"[{""name"": ""Julianne Moore"", ""role"": null, ""tmdb_person_id"": 1231, ""profile_path"": null}]",Far from Heaven,10712,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.marcello_mastroianni_award,won,"[{""name"": ""Moon So-ri"", ""role"": null, ""tmdb_person_id"": 83122, ""profile_path"": ""/iXfIsmrzohNAAf2gyPCE06rJM1N.jpg""}]",Oasis,26955,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.lion_of_the_future,won,"[{""name"": ""Francesco Sframeli"", ""role"": null, ""tmdb_person_id"": 1093108, ""profile_path"": null}, {""name"": ""Spiro Scimone"", ""role"": null, ""tmdb_person_id"": 1093110, ""profile_path"": null}]",Two Friends,131232,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
2002,venice.lion_of_the_future,won,"[{""name"": ""Dylan Kidd"", ""role"": null, ""tmdb_person_id"": 239075, ""profile_path"": null}]",Roger Dodger,13441,false,auto_verified,,2026-05-03T23:52:08.167840+00:00
