year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2001,cannes.palme_dor,won,"[{""name"": ""The Son's Room"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}, {""name"": ""Nanni Moretti"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Son's Room,11447,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.grand_prix,won,"[{""name"": ""Michael Haneke"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Piano Teacher,1791,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.best_director,won,"[{""name"": ""David Lynch"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Mulholland Dr.,1018,true,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.best_director,won,"[{""name"": ""Joel Coen"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Man Who Wasn't There,10778,true,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.best_actor,won,"[{""name"": ""Benoît Magimel"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Piano Teacher,1791,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.best_actress,won,"[{""name"": ""Isabelle Huppert"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Piano Teacher,1791,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.best_screenplay,won,"[{""name"": ""Danis Tanović"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",No Man's Land,8342,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.camera_dor,won,"[{""name"": ""Zacharias Kunuk"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Atanarjuat: The Fast Runner,13245,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.short_film_palme_dor,won,"[{""name"": ""David Greenspan"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Bean Cake,123749,false,auto_verified,,2026-05-03T21:19:21.679681+00:00
2001,cannes.jury_prize,won,"[{""name"": ""Hirokazu Kore-eda"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Distance,11074,false,auto_verified,Manually inserted — absent from Wikipedia article,2026-05-03T21:19:21.752210+00:00
