id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
bafta.best_film.2014.anthony_katagas_unresolved,bafta.2014,bafta.best_film,2014,won,"[{""name"": ""Anthony Katagas"", ""role"": null, ""tmdb_person_id"": 60187, ""profile_path"": ""/ysT6DasjRp2na6VcW26c8ncRQ7n.jpg""}, {""name"": ""Brad Pitt"", ""role"": null, ""tmdb_person_id"": 287, ""profile_path"": null}, {""name"": ""Dede Gardner"", ""role"": null, ""tmdb_person_id"": 20458, ""profile_path"": ""/uQ0Zgn4MZe5q1fMTb0m9Vi5ZqNK.jpg""}, {""name"": ""Jeremy Kleiner"", ""role"": null, ""tmdb_person_id"": 967387, ""profile_path"": ""/rRccbqvpL5HU73n1CLmJs9fyzzc.jpg""}, {""name"": ""Steve McQueen"", ""role"": null, ""tmdb_person_id"": 13565, ""profile_path"": null}]",76203,12 Years a Slave,,2013,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Film section",2026-04-26T22:57:42.706738+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2014.charles_roven_unresolved,bafta.2014,bafta.best_film,2014,nominated,"[{""name"": ""Charles Roven"", ""role"": null, ""tmdb_person_id"": 282, ""profile_path"": ""/5fxOnoI6jKicdLBtbeumKxxV9Jp.jpg""}, {""name"": ""Richard Suckle"", ""role"": null, ""tmdb_person_id"": 18953, ""profile_path"": ""/k3DlBEOvKI1HRJLTcAOpGOPFejV.jpg""}, {""name"": ""Megan Ellison"", ""role"": null, ""tmdb_person_id"": 1027025, ""profile_path"": ""/sZwZJ6Ma9cO5K2VtpOofinbhwtE.jpg""}]",168672,American Hustle,,2013,/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Film section",2026-04-26T22:57:42.706738+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2014.scott_rudin_unresolved,bafta.2014,bafta.best_film,2014,nominated,"[{""name"": ""Scott Rudin"", ""role"": null, ""tmdb_person_id"": 2997, ""profile_path"": ""/sSaFhz7Fiq6T969nqQfvgeu7fyl.jpg""}, {""name"": ""Dana Brunetti"", ""role"": null, ""tmdb_person_id"": 54417, ""profile_path"": ""/qsI9fcJoo3p91chiy7SuBdeLT88.jpg""}, {""name"": ""Michael De Luca"", ""role"": null, ""tmdb_person_id"": 4767, ""profile_path"": ""/i87R2uZafgOmFdbT7PgCBXjsL5s.jpg""}]",109424,Captain Phillips,,2013,/8Td0kkocW6sD3uRpzwfMfkqMWhx.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Film section",2026-04-26T22:57:42.706738+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2014.alfonso_cuar_n_unresolved,bafta.2014,bafta.best_film,2014,nominated,"[{""name"": ""Alfonso Cuarón"", ""role"": null, ""tmdb_person_id"": 11218, ""profile_path"": null}, {""name"": ""David Heyman"", ""role"": null, ""tmdb_person_id"": 10968, ""profile_path"": ""/m39R6xbVfHfCEO4H0s2Fhwh9mkt.jpg""}]",49047,Gravity,,2013,/kZ2nZw8D681aphje8NJi8EfbL1U.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Film section",2026-04-26T22:57:42.706738+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2014.gabrielle_tana_unresolved,bafta.2014,bafta.best_film,2014,nominated,"[{""name"": ""Gabrielle Tana"", ""role"": null, ""tmdb_person_id"": 73463, ""profile_path"": ""/d9XgWm3YQ3sIu7XSDQfnwoFbXB3.jpg""}, {""name"": ""Steve Coogan"", ""role"": null, ""tmdb_person_id"": 4581, ""profile_path"": null}, {""name"": ""Tracey Seaward"", ""role"": null, ""tmdb_person_id"": 15727, ""profile_path"": null}]",205220,Philomena,,2013,/eBUv2GmGdXmCk1AaSOmyiu70hN8.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Film section",2026-04-26T22:57:42.706738+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2014.alfonso_cuar_n_unresolved,bafta.2014,bafta.best_director,2014,won,"[{""name"": ""Alfonso Cuarón"", ""role"": null, ""tmdb_person_id"": 11218, ""profile_path"": null}]",49047,Gravity,,2013,/kZ2nZw8D681aphje8NJi8EfbL1U.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Director section",2026-04-26T22:57:42.706999+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2014.paul_greengrass_unresolved,bafta.2014,bafta.best_director,2014,nominated,"[{""name"": ""Paul Greengrass"", ""role"": null, ""tmdb_person_id"": 25598, ""profile_path"": null}]",109424,Captain Phillips,,2013,/8Td0kkocW6sD3uRpzwfMfkqMWhx.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Director section",2026-04-26T22:57:42.706999+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2014.steve_mcqueen_unresolved,bafta.2014,bafta.best_director,2014,nominated,"[{""name"": ""Steve McQueen"", ""role"": null, ""tmdb_person_id"": 13565, ""profile_path"": null}]",76203,12 Years a Slave,,2013,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Director section",2026-04-26T22:57:42.706999+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2014.david_o_russell_unresolved,bafta.2014,bafta.best_director,2014,nominated,"[{""name"": ""David O. Russell"", ""role"": null, ""tmdb_person_id"": 17883, ""profile_path"": null}]",168672,American Hustle,,2013,/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Director section",2026-04-26T22:57:42.706999+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2014.martin_scorsese_unresolved,bafta.2014,bafta.best_director,2014,nominated,"[{""name"": ""Martin Scorsese"", ""role"": null, ""tmdb_person_id"": 1032, ""profile_path"": null}]",106646,The Wolf of Wall Street,,2013,/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,https://en.wikipedia.org/wiki/67th_British_Academy_Film_Awards,"67th British Academy Film Awards Wikipedia article, Best Director section",2026-04-26T22:57:42.706999+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
