id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
bafta.best_film.2008.tim_bevan_unresolved,bafta.2008,bafta.best_film,2008,won,"[{""name"": ""Tim Bevan"", ""role"": null, ""tmdb_person_id"": 2236, ""profile_path"": ""/nyeqZJr6QVwD3iuLgK5vRgIdcmP.jpg""}, {""name"": ""Eric Fellner"", ""role"": null, ""tmdb_person_id"": 2238, ""profile_path"": ""/8fEalki5uMWg97FVDk3l2kvf2Dt.jpg""}, {""name"": ""Paul Webster"", ""role"": null, ""tmdb_person_id"": 2564664, ""profile_path"": ""/kKM2jHvQyw3uTpNBELA33GgVdQx.jpg""}]",4347,Atonement,,2007,/hMRIyBjPzxaSXWM06se3OcNjIQa.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Film section",2026-04-29T21:58:56.961566+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2008.brian_grazer_unresolved,bafta.2008,bafta.best_film,2008,nominated,"[{""name"": ""Brian Grazer"", ""role"": null, ""tmdb_person_id"": 339, ""profile_path"": ""/rNFUflKlpTEbnWDHd2Of293E4lx.jpg""}, {""name"": ""Ridley Scott"", ""role"": null, ""tmdb_person_id"": 578, ""profile_path"": null}]",4982,American Gangster,,2007,/sX9idXDqRUxE5ffww3n3RV5gL55.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Film section",2026-04-29T21:58:56.961566+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2008.quirin_begg_and_max_wiedemann_unresolved,bafta.2008,bafta.best_film,2008,nominated,"[{""name"": ""Quirin Begg"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}, {""name"": ""Max Wiedemann"", ""role"": null, ""tmdb_person_id"": 8208, ""profile_path"": ""/i2riBWfGdnmMsQLRL0BcR8FpDMa.jpg""}]",582,The Lives of Others,,2006,/cVUDMnskSc01rdbyH0tLATTJUdP.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Film section",2026-04-29T21:58:56.961566+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2008.scott_rudin_unresolved,bafta.2008,bafta.best_film,2008,nominated,"[{""name"": ""Scott Rudin"", ""role"": null, ""tmdb_person_id"": 2997, ""profile_path"": ""/sSaFhz7Fiq6T969nqQfvgeu7fyl.jpg""}, {""name"": ""Joel Coen"", ""role"": null, ""tmdb_person_id"": 1223, ""profile_path"": null}, {""name"": ""Ethan Coen"", ""role"": null, ""tmdb_person_id"": 1224, ""profile_path"": ""/lbL8LEcvuxNrzda37g3mysOS2qS.jpg""}]",6977,No Country for Old Men,,2007,/6d5XOczc226jECq0LIX0siKtgHR.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Film section",2026-04-29T21:58:56.961566+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2008.joanne_sellar_unresolved,bafta.2008,bafta.best_film,2008,nominated,"[{""name"": ""JoAnne Sellar"", ""role"": null, ""tmdb_person_id"": 4770, ""profile_path"": ""/1Z3PwpavLD7aRtaYCGiExwJz1B5.jpg""}, {""name"": ""Paul Thomas Anderson"", ""role"": null, ""tmdb_person_id"": 4762, ""profile_path"": null}, {""name"": ""Daniel Lupi"", ""role"": null, ""tmdb_person_id"": 4769, ""profile_path"": ""/nKtIZ2mNskzFNglM6XrsGD6sK7R.jpg""}]",7345,There Will Be Blood,,2007,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Film section",2026-04-29T21:58:56.961566+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2008.joel_coen_unresolved,bafta.2008,bafta.best_director,2008,won,"[{""name"": ""Joel Coen"", ""role"": null, ""tmdb_person_id"": 1223, ""profile_path"": null}, {""name"": ""Ethan Coen"", ""role"": null, ""tmdb_person_id"": 1224, ""profile_path"": ""/lbL8LEcvuxNrzda37g3mysOS2qS.jpg""}]",6977,No Country for Old Men,,2007,/6d5XOczc226jECq0LIX0siKtgHR.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Direction section",2026-04-29T21:58:56.961905+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2008.florian_henckel_von_donnersmarck_unresolved,bafta.2008,bafta.best_director,2008,nominated,"[{""name"": ""Florian Henckel von Donnersmarck"", ""role"": null, ""tmdb_person_id"": 8193, ""profile_path"": null}]",582,The Lives of Others,,2006,/cVUDMnskSc01rdbyH0tLATTJUdP.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Direction section",2026-04-29T21:58:56.961905+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2008.joe_wright_unresolved,bafta.2008,bafta.best_director,2008,nominated,"[{""name"": ""Joe Wright"", ""role"": null, ""tmdb_person_id"": 36588, ""profile_path"": null}]",4347,Atonement,,2007,/hMRIyBjPzxaSXWM06se3OcNjIQa.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Direction section",2026-04-29T21:58:56.961905+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2008.paul_greengrass_unresolved,bafta.2008,bafta.best_director,2008,nominated,"[{""name"": ""Paul Greengrass"", ""role"": null, ""tmdb_person_id"": 25598, ""profile_path"": null}]",2503,The Bourne Ultimatum,,2007,/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Direction section",2026-04-29T21:58:56.961905+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2008.paul_thomas_anderson_unresolved,bafta.2008,bafta.best_director,2008,nominated,"[{""name"": ""Paul Thomas Anderson"", ""role"": null, ""tmdb_person_id"": 4762, ""profile_path"": null}]",7345,There Will Be Blood,,2007,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,https://en.wikipedia.org/wiki/61st_British_Academy_Film_Awards,"61st British Academy Film Awards Wikipedia article, Best Direction section",2026-04-29T21:58:56.961905+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
