id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
bafta.best_film.2012.thomas_langmann_unresolved,bafta.2012,bafta.best_film,2012,won,"[{""name"": ""Thomas Langmann"", ""role"": null, ""tmdb_person_id"": 20674, ""profile_path"": ""/gK06eoUMXf3j3rGl3AUbmsbwPYO.jpg""}]",74643,The Artist,,2011,/xYMYV8lMIeQMymuNPBvq3hOnqXw.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Film section",2026-04-28T08:10:03.827435+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2012.jim_burke_unresolved,bafta.2012,bafta.best_film,2012,nominated,"[{""name"": ""Jim Burke"", ""role"": null, ""tmdb_person_id"": 54242, ""profile_path"": ""/z1u9hHQxdJXrYsXSRzqiw6Pmf9K.jpg""}, {""name"": ""Alexander Payne"", ""role"": null, ""tmdb_person_id"": 13235, ""profile_path"": null}, {""name"": ""Jim Taylor"", ""role"": null, ""tmdb_person_id"": 1833953, ""profile_path"": null}]",65057,The Descendants,,2011,/8cDq5UlOPYeKm39okALCEOsZPxk.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Film section",2026-04-28T08:10:03.827435+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2012.marc_platt_unresolved,bafta.2012,bafta.best_film,2012,nominated,"[{""name"": ""Marc Platt"", ""role"": null, ""tmdb_person_id"": 1455428, ""profile_path"": ""/x79IjgHG46sN3AgCeFMNzy4uPBV.jpg""}]",64690,Drive,,2011,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Film section",2026-04-28T08:10:03.827435+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2012.michael_barnathan_unresolved,bafta.2012,bafta.best_film,2012,nominated,"[{""name"": ""Michael Barnathan"", ""role"": null, ""tmdb_person_id"": 17828, ""profile_path"": ""/2XAesngkOyEycG4r7tDJy9cPEq6.jpg""}, {""name"": ""Chris Columbus"", ""role"": null, ""tmdb_person_id"": 10965, ""profile_path"": ""/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg""}, {""name"": ""Brunson Green"", ""role"": null, ""tmdb_person_id"": 1008413, ""profile_path"": ""/ecSbOefNb7NtmZvR3dwSKu6b8Vs.jpg""}]",50014,The Help,,2011,/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Film section",2026-04-28T08:10:03.827435+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2012.tim_bevan_unresolved,bafta.2012,bafta.best_film,2012,nominated,"[{""name"": ""Tim Bevan"", ""role"": null, ""tmdb_person_id"": 2236, ""profile_path"": ""/nyeqZJr6QVwD3iuLgK5vRgIdcmP.jpg""}, {""name"": ""Eric Fellner"", ""role"": null, ""tmdb_person_id"": 2238, ""profile_path"": ""/8fEalki5uMWg97FVDk3l2kvf2Dt.jpg""}, {""name"": ""Robyn Slovo"", ""role"": null, ""tmdb_person_id"": 15540, ""profile_path"": null}]",49517,Tinker Tailor Soldier Spy,,2011,/e0dZ7TapGY9HtJ9xk1TUHPEOccl.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Film section",2026-04-28T08:10:03.827435+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2012.michel_hazanavicius_unresolved,bafta.2012,bafta.best_director,2012,won,"[{""name"": ""Michel Hazanavicius"", ""role"": null, ""tmdb_person_id"": 67717, ""profile_path"": null}]",74643,The Artist,,2011,/xYMYV8lMIeQMymuNPBvq3hOnqXw.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Direction section",2026-04-28T08:10:03.827650+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2012.lynne_ramsay_unresolved,bafta.2012,bafta.best_director,2012,nominated,"[{""name"": ""Lynne Ramsay"", ""role"": null, ""tmdb_person_id"": 83287, ""profile_path"": null}]",71859,We Need to Talk About Kevin,,2011,/auAmiRmbBQ5QIYGpWgcGBoBQY3b.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Direction section",2026-04-28T08:10:03.827650+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2012.martin_scorsese_unresolved,bafta.2012,bafta.best_director,2012,nominated,"[{""name"": ""Martin Scorsese"", ""role"": null, ""tmdb_person_id"": 1032, ""profile_path"": null}]",44826,Hugo,,2011,/1dxRq3o3l3bVWNRvvSb7rRf68qp.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Direction section",2026-04-28T08:10:03.827650+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2012.nicolas_winding_refn_unresolved,bafta.2012,bafta.best_director,2012,nominated,"[{""name"": ""Nicolas Winding Refn"", ""role"": null, ""tmdb_person_id"": 21183, ""profile_path"": null}]",64690,Drive,,2011,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Direction section",2026-04-28T08:10:03.827650+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2012.tomas_alfredson_unresolved,bafta.2012,bafta.best_director,2012,nominated,"[{""name"": ""Tomas Alfredson"", ""role"": null, ""tmdb_person_id"": 74396, ""profile_path"": null}]",49517,Tinker Tailor Soldier Spy,,2011,/e0dZ7TapGY9HtJ9xk1TUHPEOccl.jpg,https://en.wikipedia.org/wiki/65th_British_Academy_Film_Awards,"65th British Academy Film Awards Wikipedia article, Best Direction section",2026-04-28T08:10:03.827650+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
