year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2018,berlin.golden_bear,won,"[{""name"": ""Adina Pintilie"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Touch Me Not,499155,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_grand_jury,won,"[{""name"": ""Małgorzata Szumowska"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Mug,444400,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_best_director,won,"[{""name"": ""Wes Anderson"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Isle of Dogs,399174,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_best_actor,won,"[{""name"": ""Anthony Bajon"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Prayer,560766,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_best_actress,won,"[{""name"": ""Ana Brun"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Heiresses,499152,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_best_screenplay,won,"[{""name"": ""Alonso Ruizpalacios"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Museum,128133,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.silver_bear_outstanding_artistic_contribution,won,"[{""name"": ""Elena Okopnaya"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Dovlatov,493655,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.alfred_bauer_prize,won,"[{""name"": ""Marcelo Martinessi"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",The Heiresses,499152,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
2018,berlin.best_first_feature,won,"[{""name"": ""Adina Pintilie"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]",Touch Me Not,499155,false,auto_verified,,2026-05-04T09:22:16.924736+00:00
