year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2001,berlin.golden_bear,won,"[{""name"": ""Patrice Chéreau"", ""role"": null, ""tmdb_person_id"": 23724, ""profile_path"": ""/hsdqKnOsxeFTaSkveIsgPV4Nida.jpg""}]",Intimacy,11845,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.silver_bear_grand_jury,won,"[{""name"": ""Wang Xiaoshuai"", ""role"": null, ""tmdb_person_id"": 1016305, ""profile_path"": ""/o5n02PyBkNuWIZg4QV57sDtjgzb.jpg""}]",Beijing Bicycle,12659,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.silver_bear_best_director,won,"[{""name"": ""Lin Cheng-sheng"", ""role"": null, ""tmdb_person_id"": 131288, ""profile_path"": null}]",Betelnut Beauty,44704,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.silver_bear_best_actor,won,"[{""name"": ""Benicio del Toro"", ""role"": null, ""tmdb_person_id"": 1121, ""profile_path"": null}]",Traffic,1900,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.silver_bear_best_actress,won,"[{""name"": ""Kerry Fox"", ""role"": null, ""tmdb_person_id"": 17258, ""profile_path"": ""/qTN8PjqgOdICj6egcAhJ7qXfEk1.jpg""}]",Intimacy,11845,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.silver_bear_outstanding_artistic_contribution,won,"[{""name"": ""Raúl Pérez Cubero"", ""role"": null, ""tmdb_person_id"": 100714, ""profile_path"": ""/fZ62DcF86VU14N4BZe7nHBP6AOh.jpg""}]",You're the One,59988,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
2001,berlin.alfred_bauer_prize,won,"[{""name"": ""Lucrecia Martel"", ""role"": null, ""tmdb_person_id"": 56208, ""profile_path"": ""/e70SUgZRzx5fFZ49zgn2uCqw8Jm.jpg""}]",La Ciénaga,58429,false,auto_verified,,2026-05-04T09:21:41.770485+00:00
