"year","category_id","result","recipients_json","film_title","film_tmdb_id","co_winner","verified_status","notes","scraped_at"
"2015","berlin.golden_bear","won","[{""name"": ""Jafar Panahi"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Taxi","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_grand_jury","won","[{""name"": ""Pablo Larraín"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Club","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_best_director","won","[{""name"": ""Radu Jude"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Aferim!","","true","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_best_director","won","[{""name"": ""Małgorzata Szumowska"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Body","","true","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_best_actor","won","[{""name"": ""Tom Courtenay"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","45 Years","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_best_actress","won","[{""name"": ""Charlotte Rampling"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","45 Years","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_best_screenplay","won","[{""name"": ""Patricio Guzmán"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Pearl Button","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_outstanding_artistic_contribution","won","[{""name"": ""Sturla Brandth Grøvlen"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Victoria","","true","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.silver_bear_outstanding_artistic_contribution","won","[{""name"": ""Sergey Mikhalchuk"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}, {""name"": ""Evgeniy Privin"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Under Electric Clouds","","true","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.alfred_bauer_prize","won","[{""name"": ""Jayro Bustamante"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Ixcanul","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
"2015","berlin.best_first_feature","won","[{""name"": ""Gabriel Ripstein"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","600 Miles","","false","auto_verified","","2026-05-04T07:02:16.534500+00:00"
