"year","category_id","result","recipients_json","film_title","film_tmdb_id","co_winner","verified_status","notes","scraped_at"
"2000","berlin.golden_bear","won","[{""name"": ""Paul Thomas Anderson"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Magnolia","","false","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.silver_bear_grand_jury","won","[{""name"": ""Zhang Yimou"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Road Home","","false","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.silver_bear_best_director","won","[{""name"": ""Miloš Forman"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Man on the Moon","","false","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.silver_bear_best_actor","won","[{""name"": ""Denzel Washington"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Hurricane","","false","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.silver_bear_best_actress","won","[{""name"": ""Bibiana Beglau"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Legend of Rita","","true","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.silver_bear_best_actress","won","[{""name"": ""Nadja Uhl"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Legend of Rita","","true","auto_verified","","2026-05-04T07:01:46.008808+00:00"
"2000","berlin.alfred_bauer_prize","won","[{""name"": ""Akira Ogata"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Boy's Choir","","false","auto_verified","","2026-05-04T07:01:46.008808+00:00"
