"year","category_id","result","recipients_json","film_title","film_tmdb_id","co_winner","verified_status","notes","scraped_at"
"2006","berlin.golden_bear","won","[{""name"": ""Jasmila Žbanić"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Grbavica: The Land of My Dreams","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_grand_jury","won","[{""name"": ""Jafar Panahi"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Offside","","true","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_grand_jury","won","[{""name"": ""Pernille Fischer Christensen"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","En soap","","true","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_best_director","won","[{""name"": ""Michael Winterbottom"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Road to Guantanamo","","true","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_best_director","won","[{""name"": ""Mat Whitecross"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Road to Guantanamo","","true","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_best_actor","won","[{""name"": ""Moritz Bleibtreu"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Elementary Particles","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_best_actress","won","[{""name"": ""Sandra Hüller"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","Requiem","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.silver_bear_outstanding_artistic_contribution","won","[{""name"": ""Jürgen Vogel"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Free Will","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.alfred_bauer_prize","won","[{""name"": ""Rodrigo Moreno"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","The Minder","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
"2006","berlin.best_first_feature","won","[{""name"": ""Pernille Fischer Christensen"", ""role"": null, ""tmdb_person_id"": null, ""profile_path"": null}]","En soap","","false","auto_verified","","2026-05-04T07:01:58.472170+00:00"
